Car_Name,Brand,Model,Variant,Year,Age_Years,Km_Driven,Fuel_Type,Transmission,Owner,Seller_Type,Mileage_kmpl,Engine_CC,Max_Power_BHP,Torque_Nm,Seats,Original_Price_L,Selling_Price_L
Skoda Slavia Active 2022,Skoda,Slavia,Active,2022,2,17842,Petrol,Manual,First Owner,Dealer,16.3,999,67.8,158,5,10.99,9.09
BMW X1 sDrive20i 2013,BMW,X1,sDrive20i,2013,11,112676,Petrol,Automatic,Second Owner,Individual,14.7,1998,136.2,280,5,45.9,20.25
Skoda Slavia Ambition 2018,Skoda,Slavia,Ambition,2018,6,64811,Petrol,Automatic,Second Owner,Dealer,18.0,999,67.0,140,5,14.49,7.49
Honda City e:HEV 2018,Honda,City,e:HEV,2018,6,59134,Hybrid,Automatic,First Owner,Trustmark Dealer,22.7,1498,111.6,273,5,19.5,12.56
Maruti WagonR VXI 2015,Maruti,WagonR,VXI,2015,9,102071,Petrol,Manual,First Owner,Dealer,18.0,998,69.9,127,5,5.99,2.62
Maruti WagonR VXI 2022,Maruti,WagonR,VXI,2022,2,22528,Petrol,Manual,Second Owner,Trustmark Dealer,20.7,998,65.2,149,5,5.99,4.28
Maruti WagonR ZXI 2013,Maruti,WagonR,ZXI,2013,11,100104,Petrol,Automatic,First Owner,Individual,17.7,998,55.1,108,5,6.49,2.44
Tata Altroz XZ+ 2018,Tata,Altroz,XZ+,2018,6,71369,Diesel,Manual,Third Owner,Individual,22.2,1497,106.6,231,5,9.99,4.57
Maruti Celerio VXI 2021,Maruti,Celerio,VXI,2021,3,40014,Petrol,Automatic,First Owner,Dealer,16.0,998,71.0,132,5,6.25,4.72
Kia Sonet HTK+ 2016,Kia,Sonet,HTK+,2016,8,70589,Diesel,Manual,First Owner,Individual,25.7,1493,118.0,235,5,11.49,5.53
MG ZS EV Excite 2022,MG,ZS EV,Excite,2022,2,23862,Electric,Automatic,Second Owner,Dealer,315.5,0,81.9,217,5,22.58,16.95
Maruti Swift ZXI+ 2019,Maruti,Swift,ZXI+,2019,5,56501,Petrol,Automatic,Third Owner,Dealer,14.6,1197,94.1,175,5,8.79,4.67
Mahindra XUV700 AX5 2018,Mahindra,XUV700,AX5,2018,6,79886,Diesel,Automatic,Second Owner,Dealer,26.5,2184,170.8,396,7,20.99,11.63
Toyota Glanza E 2021,Toyota,Glanza,E,2021,3,40771,Petrol,Manual,Third Owner,Individual,20.0,1197,78.6,194,5,6.85,3.97
Mercedes E-Class Progressive 2016,Mercedes,E-Class,Progressive,2016,8,89713,Petrol,Automatic,Second Owner,Dealer,19.6,1991,155.2,376,5,77.5,40.62
Maruti Ertiga ZXI+ 2015,Maruti,Ertiga,ZXI+,2015,9,103816,Petrol,Automatic,Third Owner,Individual,20.8,1462,109.6,241,7,10.99,3.84
Tata Harrier Accomplished 2016,Tata,Harrier,Accomplished,2016,8,72384,Diesel,Automatic,First Owner,Dealer,20.7,1956,155.8,342,5,22.49,12.43
Kia Seltos GTX+ 2020,Kia,Seltos,GTX+,2020,4,22671,Diesel,Automatic,First Owner,Dealer,24.0,1493,87.9,193,5,19.65,14.45
Maruti Swift LXI 2021,Maruti,Swift,LXI,2021,3,26114,Petrol,Manual,Second Owner,Dealer,14.5,1197,82.4,176,5,5.99,3.95
Hyundai Santro Sportz 2016,Hyundai,Santro,Sportz,2016,8,102329,Petrol,Manual,Fourth & Above Owner,Dealer,18.6,1086,63.5,137,5,5.47,1.9
Maruti Ertiga ZXI+ 2016,Maruti,Ertiga,ZXI+,2016,8,111309,Petrol,Automatic,Second Owner,Individual,18.5,1462,87.1,204,7,10.99,4.45
Maruti Celerio LXI 2014,Maruti,Celerio,LXI,2014,10,111153,Petrol,Manual,Second Owner,Dealer,16.1,998,76.1,163,5,5.25,1.94
Jeep Compass Limited 2016,Jeep,Compass,Limited,2016,8,92206,Diesel,Automatic,Fourth & Above Owner,Individual,18.7,1956,136.3,247,5,28.59,10.85
Hyundai Venue SX(O) 2019,Hyundai,Venue,SX(O),2019,5,34618,Diesel,Manual,First Owner,Individual,26.9,1493,98.4,236,5,11.49,6.81
Honda City e:HEV 2020,Honda,City,e:HEV,2020,4,27098,Hybrid,Automatic,Fourth & Above Owner,Individual,19.7,1498,105.9,211,5,19.5,9.75
Skoda Slavia Ambition 2017,Skoda,Slavia,Ambition,2017,7,55596,Petrol,Automatic,Third Owner,Dealer,17.3,999,76.8,142,5,14.49,6.52
Jeep Compass Limited 2015,Jeep,Compass,Limited,2015,9,62766,Diesel,Automatic,Fourth & Above Owner,Individual,22.0,1956,137.9,316,5,28.59,10.37
Renault Triber RXZ 2023,Renault,Triber,RXZ,2023,1,10809,Petrol,Automatic,First Owner,Dealer,21.6,999,65.2,128,7,8.97,7.99
Skoda Kushaq Style 2023,Skoda,Kushaq,Style,2023,1,11148,Petrol,Automatic,First Owner,Dealer,17.4,1498,94.3,241,5,17.99,15.73
Volkswagen Virtus Topline 2020,Volkswagen,Virtus,Topline,2020,4,39633,Petrol,Automatic,Second Owner,Individual,18.9,999,58.9,118,5,16.49,10.35
Hyundai Venue S 2015,Hyundai,Venue,S,2015,9,133781,Petrol,Manual,Fourth & Above Owner,Individual,17.7,1197,77.7,191,5,7.53,2.21
Toyota Innova Crysta GX 2016,Toyota,Innova Crysta,GX,2016,8,74714,Diesel,Manual,First Owner,Dealer,19.9,2393,171.0,434,7,19.77,10.77
Maruti Swift LXI 2023,Maruti,Swift,LXI,2023,1,8919,Petrol,Manual,First Owner,Individual,21.0,1197,91.1,216,5,5.99,5.07
Maruti WagonR ZXI 2022,Maruti,WagonR,ZXI,2022,2,17255,Petrol,Automatic,Second Owner,Dealer,17.8,998,77.7,164,5,6.49,4.67
Volkswagen Taigun Comfortline 2015,Volkswagen,Taigun,Comfortline,2015,9,68906,Petrol,Manual,First Owner,Individual,19.7,999,71.2,153,5,11.55,5.01
Audi Q5 Premium 2021,Audi,Q5,Premium,2021,3,29071,Petrol,Automatic,First Owner,Individual,18.4,1984,147.5,312,5,67.81,52.85
Maruti WagonR ZXI 2014,Maruti,WagonR,ZXI,2014,10,148442,Petrol,Automatic,First Owner,Dealer,18.8,998,67.5,158,5,6.49,2.44
Kia Sonet HTE 2021,Kia,Sonet,HTE,2021,3,38601,Petrol,Manual,Third Owner,Individual,14.1,1197,93.1,188,5,7.99,4.76
Mahindra XUV300 W6 2019,Mahindra,XUV300,W6,2019,5,66760,Petrol,Manual,First Owner,Dealer,18.4,1197,74.1,171,5,9.99,6.03
Honda City e:HEV 2018,Honda,City,e:HEV,2018,6,65960,Hybrid,Automatic,First Owner,Individual,22.1,1498,106.6,274,5,19.5,12.08
Audi Q5 Premium 2021,Audi,Q5,Premium,2021,3,14057,Petrol,Automatic,First Owner,Dealer,20.8,1984,128.2,278,5,67.81,52.8
Maruti Baleno Zeta 2023,Maruti,Baleno,Zeta,2023,1,10175,Petrol,Manual,First Owner,Dealer,18.4,1197,89.7,215,5,8.45,7.59
Tata Tiago XZ+ 2015,Tata,Tiago,XZ+,2015,9,111343,Petrol,Automatic,First Owner,Individual,17.4,1199,84.3,152,5,8.1,3.47
Honda Amaze S 2016,Honda,Amaze,S,2016,8,96147,Petrol,Manual,First Owner,Individual,16.3,1199,87.2,197,5,7.39,3.43
Hyundai Creta S 2020,Hyundai,Creta,S,2020,4,26909,Petrol,Manual,First Owner,Trustmark Dealer,18.8,1497,108.4,235,5,12.5,8.74
Honda Amaze V 2020,Honda,Amaze,V,2020,4,35362,Petrol,Automatic,First Owner,Dealer,19.6,1199,86.9,220,5,9.49,6.47
Mercedes C-Class Progressive 2016,Mercedes,C-Class,Progressive,2016,8,92316,Petrol,Automatic,First Owner,Trustmark Dealer,15.2,1496,110.9,255,5,55.0,32.98
Hyundai Venue SX(O) 2018,Hyundai,Venue,SX(O),2018,6,40896,Diesel,Manual,Second Owner,Individual,22.0,1493,114.5,240,5,11.49,5.74
Maruti Swift ZXI+ 2015,Maruti,Swift,ZXI+,2015,9,126116,Petrol,Automatic,Second Owner,Dealer,14.2,1197,91.6,193,5,8.79,3.44
Maruti Alto K10 VXI 2019,Maruti,Alto K10,VXI,2019,5,58000,Petrol,Manual,First Owner,Trustmark Dealer,14.1,796,58.3,146,5,4.79,2.95
Skoda Slavia Ambition 2015,Skoda,Slavia,Ambition,2015,9,142176,Petrol,Automatic,Third Owner,Individual,16.9,999,75.5,194,5,14.49,4.55
Volkswagen Taigun Comfortline 2014,Volkswagen,Taigun,Comfortline,2014,10,134296,Petrol,Manual,First Owner,Trustmark Dealer,21.9,999,56.3,123,5,11.55,4.48
Mahindra Scorpio-N Z2 2022,Mahindra,Scorpio-N,Z2,2022,2,13830,Petrol,Manual,Second Owner,Individual,17.8,1997,142.5,318,7,13.85,9.81
Maruti Dzire LXI 2013,Maruti,Dzire,LXI,2013,11,107649,Petrol,Manual,Second Owner,Dealer,19.2,1197,78.6,202,5,6.24,2.11
Maruti Alto K10 LXI 2023,Maruti,Alto K10,LXI,2023,1,9900,Petrol,Manual,First Owner,Individual,16.3,796,57.4,143,5,4.34,3.76
Tata Nexon Creative 2018,Tata,Nexon,Creative,2018,6,59328,Diesel,Automatic,First Owner,Dealer,22.1,1497,87.9,189,5,15.4,9.55
Maruti Baleno Zeta 2022,Maruti,Baleno,Zeta,2022,2,10738,Petrol,Manual,Second Owner,Dealer,20.7,1197,88.6,206,5,8.45,6.18
Maruti Alto K10 VXI 2021,Maruti,Alto K10,VXI,2021,3,51478,Petrol,Manual,First Owner,Trustmark Dealer,19.9,796,57.2,126,5,4.79,3.33
Maruti WagonR VXI 2016,Maruti,WagonR,VXI,2016,8,67167,Petrol,Manual,Fourth & Above Owner,Individual,21.0,998,75.3,184,5,5.99,2.01
Tata Altroz XZ+ 2022,Tata,Altroz,XZ+,2022,2,21303,Diesel,Manual,First Owner,Dealer,20.5,1497,113.2,277,5,9.99,8.23
Tata Harrier Adventure 2021,Tata,Harrier,Adventure,2021,3,39588,Diesel,Manual,Third Owner,Individual,21.6,1956,108.9,269,5,17.99,10.57
Honda City ZX 2020,Honda,City,ZX,2020,4,54033,Petrol,Automatic,Second Owner,Individual,16.6,1498,94.6,229,5,15.49,9.56
Maruti Celerio LXI 2020,Maruti,Celerio,LXI,2020,4,48675,Petrol,Manual,Second Owner,Dealer,15.3,998,56.6,126,5,5.25,3.21
Maruti Alto K10 VXI 2018,Maruti,Alto K10,VXI,2018,6,82166,Petrol,Manual,First Owner,Individual,19.1,796,61.2,142,5,4.79,2.63
BMW 5 Series 520d Sport 2015,BMW,5 Series,520d Sport,2015,9,149160,Diesel,Automatic,Third Owner,Individual,21.8,1995,136.0,246,5,65.9,25.7
BMW 5 Series 520d Sport 2022,BMW,5 Series,520d Sport,2022,2,25137,Diesel,Automatic,Second Owner,Dealer,23.3,1995,123.7,258,5,65.9,47.95
Mahindra XUV300 W4 2013,Mahindra,XUV300,W4,2013,11,74456,Petrol,Manual,Second Owner,Trustmark Dealer,21.0,1197,79.2,158,5,8.45,2.87
Maruti Swift VXI 2017,Maruti,Swift,VXI,2017,7,69902,Petrol,Manual,First Owner,Dealer,15.0,1197,79.6,151,5,6.99,3.73
MG Hector Plus Sharp 2023,MG,Hector Plus,Sharp,2023,1,16690,Diesel,Manual,First Owner,Dealer,21.6,1956,130.3,318,6,20.99,18.11
Skoda Octavia Style 2013,Skoda,Octavia,Style,2013,11,103481,Petrol,Automatic,Second Owner,Individual,21.0,1498,116.1,239,5,26.29,10.02
Maruti Alto K10 VXI 2015,Maruti,Alto K10,VXI,2015,9,57295,Petrol,Manual,First Owner,Dealer,17.4,796,47.7,99,5,4.79,2.2
Volkswagen Virtus Comfortline 2017,Volkswagen,Virtus,Comfortline,2017,7,66039,Petrol,Manual,First Owner,Individual,22.0,999,74.1,174,5,11.99,6.31
Skoda Octavia Style 2016,Skoda,Octavia,Style,2016,8,82576,Petrol,Automatic,Second Owner,Individual,16.2,1498,96.2,221,5,26.29,12.54
Volkswagen Taigun Comfortline 2017,Volkswagen,Taigun,Comfortline,2017,7,63239,Petrol,Manual,First Owner,Individual,19.9,999,61.8,152,5,11.55,6.09
Maruti WagonR VXI 2014,Maruti,WagonR,VXI,2014,10,73417,Petrol,Manual,First Owner,Dealer,17.0,998,77.5,141,5,5.99,2.43
Tata Altroz XE 2015,Tata,Altroz,XE,2015,9,79424,Petrol,Manual,Second Owner,Trustmark Dealer,14.8,1199,73.1,132,5,6.6,2.62
Tata Tiago XZ+ 2017,Tata,Tiago,XZ+,2017,7,67809,Petrol,Automatic,First Owner,Dealer,18.0,1199,78.8,142,5,8.1,4.36
Maruti Baleno Sigma 2016,Maruti,Baleno,Sigma,2016,8,121233,Petrol,Manual,Second Owner,Dealer,16.7,1197,93.9,173,5,6.61,2.7
Hyundai Venue SX 2019,Hyundai,Venue,SX,2019,5,70737,Petrol,Automatic,First Owner,Dealer,18.5,1197,67.8,155,5,9.99,6.19
Skoda Octavia Style 2018,Skoda,Octavia,Style,2018,6,66467,Petrol,Automatic,First Owner,Individual,18.9,1498,87.0,182,5,26.29,15.72
Volkswagen Taigun Topline 2014,Volkswagen,Taigun,Topline,2014,10,61940,Petrol,Automatic,Third Owner,Individual,21.1,999,71.5,183,5,15.99,5.91
Maruti WagonR LXI 2018,Maruti,WagonR,LXI,2018,6,79171,Petrol,Manual,Second Owner,Dealer,14.3,998,63.7,132,5,5.47,2.78
Toyota Fortuner 4x4 AT 2014,Toyota,Fortuner,4x4 AT,2014,10,125647,Diesel,Automatic,Fourth & Above Owner,Individual,24.0,2755,219.5,422,7,40.57,13.94
Maruti Celerio LXI 2014,Maruti,Celerio,LXI,2014,10,75684,Petrol,Manual,First Owner,Dealer,16.9,998,59.6,124,5,5.25,2.24
MG Hector Plus Sharp 2016,MG,Hector Plus,Sharp,2016,8,112173,Diesel,Manual,Second Owner,Dealer,24.8,1956,117.7,270,6,20.99,9.85
Hyundai Venue SX 2017,Hyundai,Venue,SX,2017,7,100723,Petrol,Automatic,First Owner,Dealer,14.5,1197,94.6,178,5,9.99,4.91
Kia Seltos GTX+ 2017,Kia,Seltos,GTX+,2017,7,61277,Diesel,Automatic,Second Owner,Trustmark Dealer,20.3,1493,105.6,193,5,19.65,10.37
Maruti Dzire VXI 2015,Maruti,Dzire,VXI,2015,9,111300,Petrol,Manual,First Owner,Trustmark Dealer,19.3,1197,87.1,221,5,7.24,3.27
Kia Carnival Premium 2018,Kia,Carnival,Premium,2018,6,34278,Diesel,Automatic,Second Owner,Individual,26.4,2199,134.1,274,8,30.89,16.7
Kia Seltos HTX 2023,Kia,Seltos,HTX,2023,1,12314,Petrol,Automatic,First Owner,Trustmark Dealer,20.5,1497,101.9,257,5,14.99,13.19
Renault Triber RXE 2016,Renault,Triber,RXE,2016,8,121932,Petrol,Manual,First Owner,Trustmark Dealer,16.2,999,66.3,119,7,5.99,2.68
Toyota Camry Hybrid 2018,Toyota,Camry,Hybrid,2018,6,52704,Hybrid,Automatic,First Owner,Dealer,23.1,2487,147.1,303,5,44.95,30.47
Honda City VX 2022,Honda,City,VX,2022,2,36391,Petrol,Automatic,Second Owner,Individual,17.4,1498,89.2,162,5,14.49,9.62
BMW 5 Series 520d Sport 2023,BMW,5 Series,520d Sport,2023,1,12611,Diesel,Automatic,First Owner,Dealer,20.9,1995,128.8,277,5,65.9,57.75
Toyota Fortuner 4x4 AT 2020,Toyota,Fortuner,4x4 AT,2020,4,39047,Diesel,Automatic,Third Owner,Dealer,18.4,2755,152.6,326,7,40.57,24.95
Mercedes E-Class Progressive 2013,Mercedes,E-Class,Progressive,2013,11,106238,Petrol,Automatic,First Owner,Dealer,19.6,1991,121.0,255,5,77.5,39.37
Maruti Baleno Sigma 2022,Maruti,Baleno,Sigma,2022,2,19844,Petrol,Manual,Second Owner,Individual,15.0,1197,90.7,181,5,6.61,4.66
Toyota Urban Cruiser Mid 2016,Toyota,Urban Cruiser,Mid,2016,8,107182,Petrol,Manual,First Owner,Dealer,18.7,1462,110.5,256,5,10.33,4.78
Renault Kwid RXT 2020,Renault,Kwid,RXT,2020,4,31909,Petrol,Automatic,Fourth & Above Owner,Individual,18.0,999,59.1,122,5,5.9,2.77
Jeep Compass Sport 2016,Jeep,Compass,Sport,2016,8,50482,Petrol,Manual,First Owner,Individual,20.8,1368,100.2,238,5,19.95,10.51
Renault Kwid STD 2015,Renault,Kwid,STD,2015,9,72173,Petrol,Manual,First Owner,Individual,14.9,799,44.4,89,5,4.7,2.03
Honda Amaze S 2021,Honda,Amaze,S,2021,3,41774,Petrol,Manual,First Owner,Individual,21.5,1199,79.3,192,5,7.39,5.2
Honda City VX 2018,Honda,City,VX,2018,6,80469,Petrol,Automatic,Second Owner,Individual,17.7,1498,119.1,267,5,14.49,7.23
Maruti Dzire ZXI 2022,Maruti,Dzire,ZXI,2022,2,18634,Petrol,Automatic,First Owner,Dealer,17.5,1197,89.7,216,5,8.99,7.23
Maruti Alto K10 LXI 2015,Maruti,Alto K10,LXI,2015,9,76346,Petrol,Manual,Third Owner,Individual,16.3,796,50.8,100,5,4.34,1.56
Renault Triber RXE 2015,Renault,Triber,RXE,2015,9,87946,Petrol,Manual,Second Owner,Individual,21.8,999,66.3,162,7,5.99,2.39
Maruti Swift ZXI 2016,Maruti,Swift,ZXI,2016,8,92623,Petrol,Manual,First Owner,Dealer,21.7,1197,92.8,175,5,7.99,3.86
Maruti Ertiga ZXI 2018,Maruti,Ertiga,ZXI,2018,6,97683,Petrol,Manual,First Owner,Dealer,21.7,1462,101.9,188,7,9.69,5.2
Maruti WagonR LXI 2023,Maruti,WagonR,LXI,2023,1,11143,Petrol,Manual,First Owner,Individual,21.0,998,62.4,127,5,5.47,4.62
Renault Triber RXZ 2013,Renault,Triber,RXZ,2013,11,145923,Petrol,Automatic,Fourth & Above Owner,Individual,15.0,999,58.6,141,7,8.97,2.19
MG ZS EV Exclusive 2022,MG,ZS EV,Exclusive,2022,2,25416,Electric,Automatic,Second Owner,Individual,379.2,0,111.6,327,5,25.58,17.96
Maruti Swift VXI 2014,Maruti,Swift,VXI,2014,10,162382,Petrol,Manual,Second Owner,Individual,19.8,1197,75.4,159,5,6.99,2.25
Volkswagen Polo Trendline 2017,Volkswagen,Polo,Trendline,2017,7,82265,Petrol,Manual,Third Owner,Individual,20.5,999,79.6,182,5,7.54,3.22
Maruti WagonR LXI 2020,Maruti,WagonR,LXI,2020,4,41343,Petrol,Manual,Second Owner,Dealer,17.2,998,70.8,176,5,5.47,3.47
Tata Harrier Smart 2019,Tata,Harrier,Smart,2019,5,62121,Diesel,Manual,First Owner,Trustmark Dealer,21.7,1956,149.1,298,5,15.49,10.16
Tata Harrier Adventure 2013,Tata,Harrier,Adventure,2013,11,120255,Diesel,Manual,Second Owner,Individual,19.9,1956,151.5,275,5,17.99,7.2
Honda City ZX 2022,Honda,City,ZX,2022,2,26923,Petrol,Automatic,First Owner,Dealer,20.6,1498,113.2,229,5,15.49,12.47
Mahindra XUV700 AX5 2020,Mahindra,XUV700,AX5,2020,4,55005,Diesel,Automatic,Third Owner,Individual,25.5,2184,134.7,279,7,20.99,11.42
MG Hector Plus Sharp 2020,MG,Hector Plus,Sharp,2020,4,47427,Diesel,Manual,First Owner,Individual,23.1,1956,136.1,307,6,20.99,14.09
MG Hector Plus Sharp 2023,MG,Hector Plus,Sharp,2023,1,12843,Diesel,Manual,First Owner,Trustmark Dealer,23.8,1956,140.6,334,6,20.99,18.2
Maruti Dzire LXI 2018,Maruti,Dzire,LXI,2018,6,60316,Petrol,Manual,Third Owner,Individual,17.4,1197,84.5,179,5,6.24,2.92
Hyundai Santro Sportz 2023,Hyundai,Santro,Sportz,2023,1,16577,Petrol,Manual,First Owner,Individual,19.9,1086,63.5,156,5,5.47,4.61
Hyundai i20 Magna 2021,Hyundai,i20,Magna,2021,3,33094,Petrol,Manual,Second Owner,Individual,15.0,1197,82.7,152,5,7.04,4.66
Audi A4 Premium 2023,Audi,A4,Premium,2023,1,11213,Petrol,Automatic,First Owner,Dealer,19.0,1984,146.4,314,5,42.34,37.71
Skoda Slavia Ambition 2022,Skoda,Slavia,Ambition,2022,2,23487,Petrol,Automatic,First Owner,Dealer,18.4,999,75.0,145,5,14.49,11.57
Maruti Alto K10 LXI 2018,Maruti,Alto K10,LXI,2018,6,65989,Petrol,Manual,First Owner,Individual,16.0,796,52.0,106,5,4.34,2.48
Honda City VX 2015,Honda,City,VX,2015,9,90338,Petrol,Automatic,Fourth & Above Owner,Individual,16.1,1498,84.3,215,5,14.49,4.54
Kia Seltos HTE 2018,Kia,Seltos,HTE,2018,6,74330,Petrol,Manual,First Owner,Individual,17.8,1497,98.7,218,5,10.9,6.09
Mahindra XUV700 AX7 L 2020,Mahindra,XUV700,AX7 L,2020,4,48301,Diesel,Automatic,Second Owner,Dealer,24.1,2184,150.9,326,7,26.99,17.51
Volkswagen Polo Highline 2014,Volkswagen,Polo,Highline,2014,10,108380,Petrol,Manual,First Owner,Individual,19.0,999,76.0,181,5,9.59,3.84
Hyundai Creta E 2016,Hyundai,Creta,E,2016,8,107354,Petrol,Manual,First Owner,Trustmark Dealer,20.4,1497,116.1,228,5,10.87,5.15
Hyundai i20 Magna 2016,Hyundai,i20,Magna,2016,8,91964,Petrol,Manual,First Owner,Individual,16.6,1197,91.3,225,5,7.04,3.23
Toyota Glanza V 2018,Toyota,Glanza,V,2018,6,58444,Petrol,Automatic,First Owner,Trustmark Dealer,20.0,1197,76.4,179,5,8.99,5.14
Hyundai Creta SX 2015,Hyundai,Creta,SX,2015,9,109187,Petrol,Automatic,Second Owner,Individual,15.9,1497,83.0,172,5,14.99,5.74
Audi A4 Premium 2020,Audi,A4,Premium,2020,4,40004,Petrol,Automatic,First Owner,Trustmark Dealer,16.1,1984,128.9,271,5,42.34,31.1
Tata Nexon Pure 2017,Tata,Nexon,Pure,2017,7,89504,Petrol,Manual,Second Owner,Dealer,17.7,1199,81.2,163,5,9.5,4.33
Toyota Camry Hybrid 2022,Toyota,Camry,Hybrid,2022,2,24652,Hybrid,Automatic,First Owner,Individual,23.9,2487,184.8,477,5,44.95,35.09
Audi Q5 Premium 2014,Audi,Q5,Premium,2014,10,107195,Petrol,Automatic,First Owner,Individual,16.6,1984,129.0,234,5,67.81,34.51
Jeep Meridian Limited 2016,Jeep,Meridian,Limited,2016,8,88288,Diesel,Automatic,First Owner,Individual,24.4,1956,114.0,245,7,29.9,15.99
Honda City VX 2021,Honda,City,VX,2021,3,30613,Petrol,Automatic,First Owner,Dealer,22.0,1498,97.6,252,5,14.49,10.61
Volkswagen Tiguan Elegance 2022,Volkswagen,Tiguan,Elegance,2022,2,18946,Petrol,Automatic,Second Owner,Individual,21.2,1984,136.1,295,5,31.99,23.28
Renault Kwid RXT 2013,Renault,Kwid,RXT,2013,11,102415,Petrol,Automatic,First Owner,Dealer,21.2,999,69.4,160,5,5.9,2.3
Jeep Meridian Limited 2022,Jeep,Meridian,Limited,2022,2,22908,Diesel,Automatic,First Owner,Dealer,20.2,1956,118.8,240,7,29.9,24.19
Maruti WagonR LXI 2021,Maruti,WagonR,LXI,2021,3,48745,Petrol,Manual,First Owner,Trustmark Dealer,15.0,998,69.1,139,5,5.47,3.94
Volkswagen Taigun Topline 2020,Volkswagen,Taigun,Topline,2020,4,58768,Petrol,Automatic,First Owner,Individual,14.2,999,67.7,157,5,15.99,10.67
Toyota Innova Crysta GX 2020,Toyota,Innova Crysta,GX,2020,4,58314,Diesel,Manual,First Owner,Dealer,24.0,2393,146.1,324,7,19.77,13.4
Maruti Baleno Alpha 2016,Maruti,Baleno,Alpha,2016,8,113052,Petrol,Automatic,Third Owner,Individual,17.2,1197,95.7,193,5,9.45,3.38
Maruti WagonR ZXI 2015,Maruti,WagonR,ZXI,2015,9,109254,Petrol,Automatic,First Owner,Individual,14.1,998,69.0,158,5,6.49,2.68
Kia Seltos HTX 2017,Kia,Seltos,HTX,2017,7,67591,Petrol,Automatic,Third Owner,Individual,22.0,1497,95.6,201,5,14.99,6.19
Maruti Swift ZXI 2023,Maruti,Swift,ZXI,2023,1,9002,Petrol,Manual,First Owner,Trustmark Dealer,19.9,1197,70.5,161,5,7.99,7.12
Toyota Camry Hybrid 2016,Toyota,Camry,Hybrid,2016,8,53762,Hybrid,Automatic,First Owner,Dealer,19.3,2487,144.5,291,5,44.95,27.47
Skoda Slavia Active 2015,Skoda,Slavia,Active,2015,9,97212,Petrol,Manual,First Owner,Dealer,17.7,999,79.0,156,5,10.99,5.01
Tata Tiago XE 2021,Tata,Tiago,XE,2021,3,40343,Petrol,Manual,Second Owner,Dealer,15.1,1199,70.5,141,5,5.4,3.55
Renault Duster RXZ 2019,Renault,Duster,RXZ,2019,5,42100,Diesel,Manual,First Owner,Dealer,23.6,1461,105.0,210,5,13.49,8.55
Hyundai Venue SX(O) 2013,Hyundai,Venue,SX(O),2013,11,116053,Diesel,Manual,Second Owner,Individual,24.1,1493,87.2,158,5,11.49,3.9
Tata Nexon Creative 2018,Tata,Nexon,Creative,2018,6,64404,Diesel,Automatic,First Owner,Individual,20.9,1497,94.9,219,5,15.4,9.16
Volkswagen Virtus Topline 2017,Volkswagen,Virtus,Topline,2017,7,59120,Petrol,Automatic,Second Owner,Individual,17.7,999,79.7,175,5,16.49,8.19
Toyota Innova Crysta GX 2022,Toyota,Innova Crysta,GX,2022,2,25540,Diesel,Manual,Second Owner,Individual,19.1,2393,141.3,278,7,19.77,14.27
Honda City V 2023,Honda,City,V,2023,1,10283,Petrol,Manual,First Owner,Individual,15.1,1498,96.2,237,5,11.89,10.09
Hyundai i20 Sportz 2014,Hyundai,i20,Sportz,2014,10,70170,Petrol,Manual,First Owner,Individual,20.4,1197,93.5,225,5,8.64,3.45
Toyota Innova Crysta GX 2016,Toyota,Innova Crysta,GX,2016,8,102567,Diesel,Manual,Third Owner,Individual,24.8,2393,172.6,347,7,19.77,8.38
Toyota Fortuner 4x2 MT 2021,Toyota,Fortuner,4x2 MT,2021,3,35497,Diesel,Manual,First Owner,Trustmark Dealer,23.9,2755,172.9,337,7,33.43,25.08
Honda City VX 2016,Honda,City,VX,2016,8,73481,Petrol,Automatic,First Owner,Individual,17.9,1498,88.7,162,5,14.49,6.74
Mahindra XUV700 AX5 2013,Mahindra,XUV700,AX5,2013,11,122331,Diesel,Automatic,First Owner,Individual,21.5,2184,125.6,243,7,20.99,9.0
Maruti WagonR VXI 2016,Maruti,WagonR,VXI,2016,8,70427,Petrol,Manual,Second Owner,Individual,18.4,998,69.8,162,5,5.99,2.62
Renault Duster RXZ 2017,Renault,Duster,RXZ,2017,7,65715,Diesel,Manual,First Owner,Individual,22.0,1461,95.4,175,5,13.49,7.09
Toyota Fortuner 4x4 AT 2013,Toyota,Fortuner,4x4 AT,2013,11,135414,Diesel,Automatic,Second Owner,Trustmark Dealer,23.2,2755,191.7,476,7,40.57,17.51
Mahindra XUV700 AX5 2014,Mahindra,XUV700,AX5,2014,10,70284,Diesel,Automatic,First Owner,Individual,18.1,2184,149.1,382,7,20.99,9.54
MG ZS EV Exclusive 2018,MG,ZS EV,Exclusive,2018,6,40470,Electric,Automatic,First Owner,Individual,304.6,0,122.8,232,5,25.58,15.64
Tata Harrier Smart 2016,Tata,Harrier,Smart,2016,8,59634,Diesel,Manual,Second Owner,Dealer,25.7,1956,119.4,218,5,15.49,7.55
Renault Duster RXE 2023,Renault,Duster,RXE,2023,1,14584,Petrol,Manual,First Owner,Dealer,17.8,1498,110.7,230,5,9.99,8.9
Mahindra XUV700 MX 2018,Mahindra,XUV700,MX,2018,6,66174,Petrol,Manual,Second Owner,Dealer,16.8,1997,149.7,321,7,13.99,7.49
